#Title: Empirical limb-darkening coefficients & transit parameters of known
#       exoplanets from TESS
#Authors: Jayshil A. Patel and Néstor Espinoza
#Table: Limb darkening coefficients calculated using different methods for
#       quadratic law
#================================================================================
#Byte-by-byte Description of file: ldc_ascii_mrt.dat
#--------------------------------------------------------------------------------
# Bytes Format Units  Label     Explanations
#--------------------------------------------------------------------------------
# 1- 8  A8     ---    name         Name of the host star
#10-13  F4.2   ---    u1_j         [0.13/1.35] u1 determined from juliet analysis
#15-18  F4.2   ---    u1_j_p       [0.01/0.54] upper band of 68% credibility
#20-23  F4.2   ---    u1_j_n       [0.01/0.83] lower band of 68% credibility
#25-29  F5.2   ---    u2_j         [-0.41/0.57] u2 determined from juliet analysis
#31-34  F4.2   ---    u2_j_p       [0.02/0.57] upper band of 68% credibility
#36-39  F4.2   ---    u2_j_n       [0.02/0.47] lower band of 68% credibility
#41-44  F4.2   ---    u1_code_ata  [0.14/0.54] u1 from EJ15 ATLAS
#46-49  F4.2   ---    u2_code_ata  [0.13/0.44] u2 from EJ15 ATLAS
#51-54  F4.2   ---    u1_code_pho  [0.12/0.5] u1 from EJ15 PHOENIX
#56-59  F4.2   ---    u2_code_pho  [0.17/0.56] u2 from EJ15 PHOENIX
#61-64  F4.2   ---    u1_cla_ata   u1 from C17 ATLAS
#66-69  F4.2   ---    u2_cla_ata   u2 from C17 ATLAS
#71-74  F4.2   ---    u1_cla_pho   [0.01/0.45] u1 from C17 PHOENIX
#76-79  F4.2   ---    u2_cla_pho   [0.26/0.72] u2 from C17 PHOENIX
#81-84  F4.2   ---    u1_cla_pho_r [0.11/0.49] u1 from C17 PHOENIX, with r-method
#86-89  F4.2   ---    u2_cla_pho_r [0.18/0.58] u2 from C17 PHOENIX, with r-method
#--------------------------------------------------------------------------------
#Notes: EJ15 means the LDCs calculated using the method by Espinoza & Jordan 
#       (2015) and C17 implies the tabulated values from Claret (2017), with 
#       their r-method (C17r) and q-method (C17q) when using phoenix models.
#--------------------------------------------------------------------------------
HATS-68  0.19 0.19 0.13  0.01 0.16 0.13 0.23 0.32 0.33 0.24 0.25 0.31 0.24 0.40 0.32 0.24
HAT-P-55 0.33 0.20 0.18  0.28 0.33 0.35 0.30 0.28 0.33 0.25 0.29 0.29 0.27 0.36 0.33 0.24
KELT-24  0.27 0.03 0.03  0.16 0.05 0.05 0.21 0.33 0.29 0.25 0.21 0.33 0.22 0.39 0.30 0.25
WASP-124 0.36 0.24 0.22  0.24 0.35 0.37 0.27 0.30 0.32 0.25 0.26 0.30 0.25 0.37 0.32 0.25
HATS-28  0.25 0.22 0.17  0.17 0.34 0.25 0.34 0.26 0.37 0.23 0.34 0.26 0.31 0.34 0.37 0.22
WASP-142 0.40 0.38 0.27  0.17 0.36 0.35 0.27 0.31 0.33 0.24 0.27 0.30 0.25 0.39 0.33 0.24
WASP-13  0.26 0.18 0.15  0.27 0.25 0.27 0.26 0.31 0.33 0.24 0.27 0.30 0.25 0.40 0.33 0.24
HAT-P-70 0.58 0.11 0.13 -0.12 0.20 0.16 0.19 0.27 0.17 0.28 0.18 0.28 0.07 0.47 0.18 0.27
WASP-50  0.15 0.18 0.11  0.51 0.18 0.27 0.34 0.26 0.38 0.23 0.36 0.25 0.32 0.33 0.38 0.22
HAT-P-9  0.20 0.18 0.13  0.26 0.32 0.30 0.24 0.31 0.29 0.25 0.23 0.32 0.23 0.38 0.30 0.25
WASP-19  0.24 0.22 0.16  0.38 0.26 0.35 0.34 0.26 0.36 0.23 0.34 0.27 0.30 0.34 0.37 0.23
HATS-44  0.66 0.52 0.42 -0.00 0.41 0.41 0.44 0.21 0.41 0.22 0.43 0.21 0.35 0.32 0.41 0.22
WASP-96  0.28 0.27 0.19  0.22 0.30 0.33 0.34 0.26 0.37 0.23 0.34 0.26 0.30 0.34 0.37 0.23
WASP-101 0.16 0.19 0.12  0.30 0.16 0.24 0.22 0.33 0.29 0.25 0.23 0.32 0.23 0.38 0.30 0.25
HATS-22  0.50 0.26 0.27  0.22 0.34 0.33 0.46 0.18 0.45 0.20 0.46 0.19 0.41 0.28 0.45 0.20
WASP-167 0.25 0.21 0.17  0.06 0.21 0.21 0.17 0.35 0.27 0.25 0.17 0.34 0.18 0.42 0.27 0.25
TOI-157  0.38 0.25 0.22  0.16 0.27 0.30 0.35 0.26 0.38 0.23 0.37 0.25 0.31 0.36 0.37 0.23
WASP-17  0.15 0.10 0.09  0.52 0.21 0.23 0.21 0.32 0.30 0.24 0.20 0.32 0.22 0.39 0.30 0.25
TOI-677  0.18 0.20 0.12  0.56 0.23 0.37 0.24 0.31 0.30 0.25 0.23 0.31 0.24 0.38 0.31 0.25
WASP-169 0.19 0.15 0.12  0.27 0.26 0.25 0.26 0.31 0.33 0.24 0.25 0.31 0.23 0.43 0.33 0.24
KELT-20  0.19 0.08 0.07  0.20 0.13 0.13 0.18 0.27 0.17 0.26 0.18 0.26 0.06 0.46 0.16 0.27
WASP-120 0.29 0.20 0.18  0.12 0.23 0.25 0.21 0.32 0.30 0.24 0.21 0.32 0.21 0.42 0.30 0.25
WASP-71  0.40 0.09 0.12 -0.05 0.19 0.13 0.26 0.31 0.33 0.24 0.26 0.31 0.22 0.45 0.33 0.24
HAT-P-18 0.40 0.12 0.12  0.37 0.22 0.27 0.47 0.18 0.45 0.20 0.46 0.19 0.40 0.29 0.45 0.20
HAT-P-12 0.59 0.15 0.18  0.06 0.34 0.29 0.45 0.19 0.46 0.18 0.46 0.19 0.43 0.27 0.47 0.19
